suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Carlsruhe,VIC,Rural locality,Macedon Ranges,381,"['Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan', 'Macedon-Mt-Macedon-Cool-Changes-Plan', 'ConversationCards', 'Factsheet-MentalHealth', 'Factsheet-PhysicalHealth', 'Biodiversity-Strategy-Final-December-2018', 'Sustainable-Buildings-Policy', 'Single-Use-Plastics-Policy-2023', 'Township-Street-Park-Tree-Management-Policy-2022', 'Environment-Strategy-2021', 'Climate-Change-Action-Plan']"
Carlton,TAS,Urban locality,Sorell,65,"['Sorell-Council-Climate-Change-Adaptation-Plan-2012-1', 'Environmental-Sustainability-Policy']"
Carlton River,TAS,Rural locality,Sorell,65,"['Sorell-Council-Climate-Change-Adaptation-Plan-2012-1', 'Environmental-Sustainability-Policy']"
Carlyle,VIC,Rural locality,Indigo,165,"['Climate-Change-Policy-2019', 'Indigo-Shire-Council-Plan-2021-2025', 'Municipal-Public-Health-and-Wellbeing-Action-Plan-2021-2025', 'Climate-emergency-strategic-action-plan', 'INDIGO-CLIMATE-CHANGE-ADAPTION-ACTION-PLAN-2017-21', 'Towards-Certified-Net-Zero-Indigo-Shire-Council', 'Greenhouse-Action-Plan', 'ENVIRONMENT-STRATEGY']"
Carmoo,QLD,Urban locality,Cassowary Coast,90,"['Reef Guardian Cassowary Coast Regional Council Action Plan 2023', 'Liveable Cassowary Coast Regional Council Community Plan Lifestyle and Wellbeing Profile Report', 'Liveable Cassowary Coast Plan 2020 Action Plans']"
Carnarvon,WA,Urban locality,Carnarvon,251,['Policy Manual July -2023 NCCP']
Carnarvon Park,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Carneys Creek,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Carole Park,QLD,Major Urban locality,Ipswich,240,"['EM-Natural-Hazards-Booklet', 'Annual-Plan 2023-2024', 'Sustainability-Strategy', 'Natural-Environment-Policy', 'Sustainability-Policy']"
Caroline,SA,Rural locality,Grant,72,['Health and Wellbeing Action Plan']
Carool,NSW,Rural locality,Tweed,168,"['interim-climate-change-action-plan', 'environmental-sustainability-prioritisation-strategy-2015', 'renewable-energy-action-plan-tweed-shire-council-facilities-october-2017', 'climate-ready-tweed-final-report-july-2023', 'climate-action-community-readiness-survey-summary']"
Caroona,NSW,Rural locality,Gunnedah,69,['Future Plan 2040 - Gunnedah Shire ']
Carpentaria,QLD,Rural locality,Carpentaria,164,"['Carpentaria Shire Coastal Hazard Adaptation Strategy', 'Carpentaria Shire Coastal Hazard Adaptation Strategy Supplement A Factsheets and Project Updates v2', 'Carpentaria Shire Coastal Hazard Adaptation Strategy Our Shared Values', 'Carpentaria Shire Local Disaster Management Plan AUG22-1']"
Carpenter Rocks,SA,Rural locality,Grant,72,['Health and Wellbeing Action Plan']
Carrabin,WA,Rural locality,Westonia,96,['Council Policy Manual-NCCP']
Carrabolla,NSW,Rural locality,Dungog,318,['Council Meeting Document 2023']
Carrai,NSW,Rural locality,Armidale Regional,60,['A Framework for Climate Emergency']
Carrajung,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Carrajung Lower,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Carrajung South,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Carranballac,VIC,Rural locality,Pyrenees,96,"['2023.04 Asset Management Policy', '2021.02.21 Climate Change Response Mitigation Plan', 'Environmental Sustainability Strategy 2011', 'Biodiversity Action Plan - 2016']"
Carrara,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Carrickalinga,SA,Urban locality,Yankalilla,200,['Annual-Report-2022-FINAL-v.6']
Carrieton,SA,Rural locality,Orroroo/Carrieton,79,['Annual Report 2022 - NCCP']
Carroll,NSW,Rural locality,Gunnedah,69,['Future Plan 2040 - Gunnedah Shire ']
Carrolup,WA,Rural locality,Katanning,96,['2021-2022 Annual Report NCCP']
Carron,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Willawarrin,NSW,Rural locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Carrs Creek,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Carrs Peninsula,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Carruchan,QLD,Rural locality,Cassowary Coast,90,"['Reef Guardian Cassowary Coast Regional Council Action Plan 2023', 'Liveable Cassowary Coast Regional Council Community Plan Lifestyle and Wellbeing Profile Report', 'Liveable Cassowary Coast Plan 2020 Action Plans']"
Carrum,VIC,Major Urban locality,Kingston,340,"['climate-and-ecological-emergency-response-plan', 'kingston’s-integrated-water-strategy-nov-2022', 'kingstons-coastal-and-marine-management-plan-2023-v2', 'urban-cooling-strategy-final', 'public-health-and-wellbeing-plan-2021-2025', 'walking-and-cycling-plan', 'kingston-procurement-policy-local-government-act-2020-effective-31-december-2021']"
Willi Willi,NSW,Rural locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Carters Ridge,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Williamtown,NSW,Rural locality,Port Stephens,15,"['Climate-Change-Policy', 'Environment-Policy']"
Carwarp,VIC,Rural locality,Mildura,163,"['Draft-Community-Climate-Response-Plan-2023-2028', 'Annual-Environmental-Sustainability-Report-2021-2022', 'Electric-Vehicle-Charging-Infrastructure-Policy-CP053', 'Environmental-Sustainability-and-Climate-Change-Policy', 'Water-Management-Policy-CP024', 'Towards-Zero-Emissions-Strategy-2021-2050', 'Community-Health-and-Wellbeing-Plan-2021-2025-Final']"
Carwoola,NSW,Rural locality,Queanbeyan-Palerang Regional,414,"['QPRC-Community-Climate-Change-Action-Plan-updated-20-October-2021', 'Council-Operations-Climate-Change-Action-Plan-updated-20-October-2021', 'QPRC-Urban-Forest-Cooling-Strategy-Final', 'Public-Electric-Vehicle-Charging-Plan-2030', 'Qbyn-River-Riparian-Corridor-and-Platypus-Awareness-and-Conservation-Strategy']"
Cashmere,QLD,Major Urban locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Cashmore,VIC,Rural locality,Glenelg,110,['Environment Strategy 2010-2020']
Casino,NSW,Urban locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Wirrimbi,NSW,Rural locality,Nambucca,3,['Policy de14 - climate - change -10100-2018']
Wittitrin,NSW,Rural locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Castambul,SA,Rural locality,Adelaide Hills,312,"['Biodiversity-Strategy-2019-24', 'Water-Management-Plan-2017', 'LED-lights-Infographic', 'Corporate-Carbon-Management-Plan-2019', 'Waste-and-Resources-Management-Strategy-2017', 'Resource-Recovery-and-Recycling-2019', 'COUNCIL-MEDIA-190329-Adelaide-Hills-Council-declares-Climate-Emergency', 'Climate-Change-Adaptation-Plan']"
Castaways Beach,QLD,Major Urban locality,Noosa,117,"['NC-Climate-Change-Response-Plan-ENDORSED', 'Climate-Change-Response-Policy', 'Zero-Emissions-Organisational-Strategy', 'Noosa-Environment-Strategy-2019']"
Castella,VIC,Rural locality,Murrindindi,59,"['Corporate Carbon Inventory Boundary Zero Net Emissions Pathway Report', 'Climate Change Action Plan - Draft']"
Casterton,VIC,Rural locality,Glenelg,110,['Environment Strategy 2010-2020']
Wollumboola,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Castle Doyle,NSW,Rural locality,Armidale Regional,60,['A Framework for Climate Emergency']
Wollun,NSW,Rural locality,Uralla,39,['annual-report-2021-2022-NCCP']
Castlemaine,VIC,Urban locality,Mount Alexander,374,"['roadmap-to-carbon-neutrality-2020', 'residents-and-ratepayers-aug-2020-Climate-Change-Forum_Submissions', 'business-and-organisations-dec-2019-Climate-Change-Forum-Submissions', 'climate-change-strategy', 'environment-strategy-2015-2025', 'climate-change-strategy-action-plan-2023-2024', 'municipal-health-wellbeing-plan-2021-2025-october-2021', 'Community-Climate-Transition-Plan-230220']"
Castletown,WA,Urban locality,Esperance,205,"['Climate change declaration', 'Green Infrastructure Guidelines', 'Esperance Coastal Adaptation Strategy']"
Womboota,NSW,Rural locality,Murray River,4,['How Adapting to a Changing Climate Builds Social Capital']
Casuarina,NSW,Major Urban locality,Tweed,168,"['interim-climate-change-action-plan', 'environmental-sustainability-prioritisation-strategy-2015', 'renewable-energy-action-plan-tweed-shire-council-facilities-october-2017', 'climate-ready-tweed-final-report-july-2023', 'climate-action-community-readiness-survey-summary']"
Cataby,WA,Rural locality,Dandaragan,125,['Local Planning Strategy Final']
Catalina,NSW,Urban locality,Eurobodalla,182,"['Eurobodalla Climate Action Plan 2022-2032', 'Eurobodalla Climate Action Plan 2022-2032 Summary', 'Emissions Reduction Plan 2017-2021', 'Electric Vehicle Charging Infrastructure Strategy 2023']"
Catani,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Cataract,NSW,Rural locality,Wollondilly,53,['Wollondilly-2033-DeliveryProgram-3-Revised']
Cathkin,VIC,Rural locality,Murrindindi,59,"['Corporate Carbon Inventory Boundary Zero Net Emissions Pathway Report', 'Climate Change Action Plan - Draft']"
Cathundral,NSW,Rural locality,Warren,88,['Annual Report 2021-22-NCCP']
Cattai,NSW,Rural locality,The Hills Shire,162,['Annual-Report-21-22']
Wondabyne,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Caurnamont,SA,Rural locality,Mid Murray,419,['Council Agenda and Attachments 19-September-2023 - Public v2']
Woodhill,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Woodview,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Caveat,VIC,Rural locality,Murrindindi,59,"['Corporate Carbon Inventory Boundary Zero Net Emissions Pathway Report', 'Climate Change Action Plan - Draft']"
Woolgarlo,NSW,Rural locality,Yass Valley,6,['climate-change-action-plan-1']
Cavendish,VIC,Rural locality,Southern Grampians,44,['Climate Adaptation Plan 2017-2027 FINAL']
Caveside,TAS,Rural locality,Meander Valley,168,['May-2023-MVC-Policy-Manual']
Woomargama,NSW,Rural locality,Greater Hume Shire,26,['Community Strategic Plan 2032 NCCP']
Woy Woy Bay,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Cawdor,QLD,Urban locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Cawongla,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Cecil Plains,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Wyan,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Cedar Party,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Cedar Pocket,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Cedar Point,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Cedarton,QLD,Rural locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Ceduna,SA,Urban locality,Ceduna,264,"['Council Meeting Agenda & The Eyre Peninsula Strategic Regional Plan 2023-2026', 'Western Eyre Peninsula Regional Public Health Plan Final']"
Ceduna Waters,SA,Rural locality,Ceduna,264,"['Council Meeting Agenda & The Eyre Peninsula Strategic Regional Plan 2023-2026', 'Western Eyre Peninsula Regional Public Health Plan Final']"
Cells River,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Wybong,NSW,Rural locality,Muswellbrook,5,['Environmental Sustainability Policy - S32-1']
Centenary Heights,QLD,Major Urban locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Centennial Park,WA,Urban locality,Albany,20,"['City of Albany Climate Change Action Declaration', 'Corporate Power Plan 2023-2028']"
Central Colo,NSW,Rural locality,Hawkesbury,471,"['Adopted-Hawkesbury-Rural-Lands-Strategy', 'Flood Policy 2020 - Adopted 29 June 2021 - PEL0006Z', 'HCC-Urban-Greening-Strategy-Adopted', 'HCC-Environmental-Sustainability-Strategy-2023', 'Waste-Strategy-Draft-2022-pages']"
Lindesay Creek,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Central Plateau,TAS,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Central Tilba,NSW,Rural locality,Eurobodalla,182,"['Eurobodalla Climate Action Plan 2022-2032', 'Eurobodalla Climate Action Plan 2022-2032 Summary', 'Emissions Reduction Plan 2017-2021', 'Electric Vehicle Charging Infrastructure Strategy 2023']"
Ceres,VIC,Rural locality,Greater Geelong,190,"['climate change response plan final', 'sustainability policy-adopted 2february2021', 'sustainability performance report 2022', ' 2023-24 environmental sustainability grant guidelines', 'environment strategy 2020-30', 'sustainability framework 2020', 'our community plan 2021-25', 'environment strategy action plan 2020-2022']"
Cervantes,WA,Urban locality,Dandaragan,125,['Local Planning Strategy Final']
Cessnock,NSW,Rural locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Wybung,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Chadwick,WA,Urban locality,Esperance,205,"['Climate change declaration', 'Green Infrastructure Guidelines', 'Esperance Coastal Adaptation Strategy']"
Chaelundi,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Chaffey,SA,Rural locality,Renmark Paringa,138,"['RPC-EmergencyManagementPlanSeptember-2020', 'RPC - Water Stewardship Plan']"
Chain Of Lagoons,TAS,Rural locality,Break O'Day,63,['BreakO’Day Council Municipal Management Plan Climate Change Impacts Report ']
Chain Of Ponds,SA,Rural locality,Adelaide Hills,312,"['Biodiversity-Strategy-2019-24', 'Water-Management-Plan-2017', 'LED-lights-Infographic', 'Corporate-Carbon-Management-Plan-2019', 'Waste-and-Resources-Management-Strategy-2017', 'Resource-Recovery-and-Recycling-2019', 'COUNCIL-MEDIA-190329-Adelaide-Hills-Council-declares-Climate-Emergency', 'Climate-Change-Adaptation-Plan']"
Chain Valley Bay,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Chakola,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Chambigne,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Chances Plain,QLD,Rural locality,Western Downs,49,['final-wdrc-annual-report-2021-22NCCP']
Wylies Flat,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Chandler,WA,Rural locality,Nungarin,78,['Annual Report - 202021 NCCP']
Chandlers Creek,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Chandlers Hill,SA,Rural locality,Onkaparinga,80,"['Climate-Change-Response-Plan-PDF-version-incl-additional-climate-emergency-actions-July-2023', 'Towards-Zero-Corporate-Emissions-Roadmap', 'SUS230048-Climate-Change-Information-Sheet', 'Climate-Change-Snapshot-2023-June-2023', 'Climate-Change-Response-Plan-on-a-Page']"
Changerup,WA,Rural locality,Kojonup,157,['Policy Manual 2021 NCCP']
Wymah,NSW,Rural locality,Greater Hume Shire,26,['Community Strategic Plan 2032 NCCP']
Channybearup,WA,Rural locality,Manjimup,50,['Environmental Management and Sustainability Strategy 2013']
Chapel Flat,VIC,Rural locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Chapel Hill,SA,Rural locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Chapman Bore,SA,Rural locality,Murray Bridge,83,"['Climate-Change-Adaptation-Plan-2016-2021-adopted-by-Council-on-9-May-2016-1', 'Climate-Change-Lets-Talk-Fact-Sheet', 'RCMB-Media-Release-Climate-Emergency-October-2019', 'Environmental-Management-Plan-endorsed-10-May-2021']"
Chapman Hill,WA,Rural locality,Busselton,91,"['energy-strategy-2020-2025', 'sustainable-house-brochure', 'climate-change-Policy', 'Environment- Policy']"
Charam,VIC,Rural locality,West Wimmera,164,['2021-2022-Annual-Report-Final-NCCP']
Charbon,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Charlemont,VIC,Major Urban locality,Greater Geelong,190,"['climate change response plan final', 'sustainability policy-adopted 2february2021', 'sustainability performance report 2022', ' 2023-24 environmental sustainability grant guidelines', 'environment strategy 2020-30', 'sustainability framework 2020', 'our community plan 2021-25', 'environment strategy action plan 2020-2022']"
